2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
"We will further establish the military theatre commands for more efficient operations. Ensuring Robust Infrastructure Along Borders The gross neglect by previous governments resulted in poor infrastructure in border areas. We have corrected this grave error and started constructing roads, railway, telecom towers, optical fibre cables",Low Confidence: Highly Likely,0.5429,Provide the State governments with all assistance to modernize their respective police forces and equip them with the latest technology. This will be taken up on a mission mode approach.,2014
"and electricity networks. We will accelerate development of robust infrastructure along the Indo-China,",Low Confidence: Partial,0.56,Give a thrust to renewable sources of energy as an important component of India's energy mix.,2014
Indo-Pakistan and Indo-Myanmar borders. We will introduce technological solutions on fenced portions to make fencing smarter. 38,High Confidence: Highly Likely,0.7279,"Complete all pending fencing work along the India- Bangladesh and India-Myanmar border, stepping up border security.",2014
"We will aim towards eliminating the threat of drugs on our society, especially our young citizens, through",Indeterminate,0.4784,BJP is committed to eliminate manual scavenging. BJP will look at more effective ways to pull these people out of the poverty line.,2014
"a series of technical, legal and intelligence programmes. We will work on enforcement and reducing",Low Confidence: Partial,0.5883,"Implement measures to improve the efficiency of Armed Forces Tribunals, and minimize appeals by the Government.",2014
"demand for drugs. We will leverage Big Data analytics, artificial intelligence, drones and satellite imagery to detect and dismantle drug trafficking networks effectively. Implementing Bhartiya Nyay Sahita Expeditiously We have enacted Bharatiya Nyay Sanhita to ensure security as well as justice delivery for our citizens. We are committed to its effective implementation through training, online certificate courses, new curriculum in universities and law schools, and many additional measures. Eliminating Left Wing Extremism (LWE)",Indeterminate,0.4956,"Modernize our Prison system with technology and infrastructure; to strengthen the security as well human rights and correctional dimensions. Work towards evolving common national standards and protocols. Train and technologically enable the police to track, pursue, as well as prevent Cyber Crime.",2014
We will strengthen our paramilitary forces with state-of-the-art equipment and trained personnel to eliminate LWE in all its forms. Our development measures have weakened the false propaganda spread,Low Confidence: Partial,0.5849,We will modernize the Central Armed Police Forces to further increase their capacity and readiness and enable them to effectively combat internal security challenges,2019
"by extremists. We will ensure that the development and welfare schemes reach the people living in areas affected by Left Wing Extremism. With this 360 degree approach, we will eliminate LWE in our journey towards Viksit Bharat. Implementation of CAA We have taken the historic step of enacting the Citizenship Amendment Act (CAA) and will implement it to confer citizenship to all eligible persons. Enhancing the Capabilities of the Armed Forces and the Central Armed Police Forces",Indeterminate,0.4782,Ensure the completion of six Tribal Freedom Fighters Museums,2019
"We will further equip the Armed Forces and the Central Armed Police Forces with modern state-of-the-art weapons, equipment and technology to aid the swift disposal of any current and emerging threats. National Forensics Mission To move away from ‘punishment to justice, and improve the current conviction rate in the country, we will launch a National Forensics Mission to strengthen the forensic infrastructure. Protecting Bharat's Security Interests in the Indian Ocean Region",Moderate Confidence: Partial,0.6245,"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.",2014
We will expand Bharat’s defence footprint across strategic locations and partner with friendly countries to protect Bharat’s and the Indian Ocean Region’s security interests. Safeguarding Bharat's Digital Sovereignty,Low Confidence: Highly Likely,0.5277,"This will be a high priority area for BJP that IT touches the lives of ordinary men and women. ---BJP aims to nurture a Digital India -making every household and every individual digitally empowered.-- BJP aims to make every household digitally literate with a goal to make India the Global Knowledge hub, with IT being a major driver and engine of growth.",2014
"We will take further steps towards strengthening Bharat’s digital sovereignty and will take stringent Continuing a Zero-Tolerance Policy Towards Terrorism action against digital entities that threaten the safety of Bharatiya on the internet. The Surgical Strikes of 2016 and the Air Strikes of 2019 are examples of our dedicated efforts towards Implementing Robust Cyber Security Policies countering terrorism. We are committed to defend Bharat's citizens and interests at home and abroad from all threats of terrorism. To regulate and monitor Bharat’s cyber protection agencies and infrastructure, we will develop and implement robust cyber security policies. Theatrization of Military Commands We have established the position of Chief of Defense staff (CDS) for better coordination in the military.",Low Confidence: Highly Likely,0.5966,"This will be a high priority area for BJP that IT touches the lives of ordinary men and women. ---BJP aims to nurture a Digital India -making every household and every individual digitally empowered.-- BJP aims to make every household digitally literate with a goal to make India the Global Knowledge hub, with IT being a major driver and engine of growth.",2014
"We will further establish the military theatre commands for more efficient operations. Ensuring Robust Infrastructure Along Borders The gross neglect by previous governments resulted in poor infrastructure in border areas. We have corrected this grave error and started constructing roads, railway, telecom towers, optical fibre cables",Low Confidence: Highly Likely,0.5429,Provide the State governments with all assistance to modernize their respective police forces and equip them with the latest technology. This will be taken up on a mission mode approach.,2014
"and electricity networks. We will accelerate development of robust infrastructure along the Indo-China,",Low Confidence: Partial,0.56,Give a thrust to renewable sources of energy as an important component of India's energy mix.,2014
Indo-Pakistan and Indo-Myanmar borders. We will introduce technological solutions on fenced portions to make fencing smarter. 39,High Confidence: Highly Likely,0.7275,"Complete all pending fencing work along the India- Bangladesh and India-Myanmar border, stepping up border security.",2014
"We will proWmeo twei Bll hparoramt'ost eex Bphoarrtas tt'sh reoxupgohr tins ttehrrnoautgiohn ianlt ceornoapteiroantaiol nco, ionpferarasttriounc,t iunrfer adsetvreulcotpumree dnet vaenlodp ment and simplificatisoinm opfl ilfiacwastion of laws Revamp CoRmevmaemrcpi aClo amnmd Tearcxi aLle agnisdl aTtaioxn Lsegislations We have suWbset haanvtiea lslyu bssimtapnlitfiiaeldly t shime ipnldifiireedc tt haen din ddiirreecctt taanxd s dyisrteecmt tsa txh sryosutgehm ssim thprloeur gruhl essim, npelewr rules, new legislation, laengdis luasteio onf, atencdh unsoelo ogfy t. eWceh naorelo cgoym. Wmei tatreed c toom lamuinttcehd a tno e lxaeurnccishe a tno e cxoemrcpisleet teoly c roemvapmlepte olyu rr evamp our MODI KI economic aencdo ncoommmic earncdia cl olemgimsleartcioianls l etgoi ssluaitti oonusr teoc osnuoitm oiucr n eeceodnso. mic needs. Honour HoHnoensto uTar xHpoanyeesrts Taxpayers GUARANTEE FOR",Indeterminate,0.3676,Work towards completing the development of ‘Panchteeh’ circuit,2019
"We will honWouer w hiolln heosnto tuarx hpoayneersst wtahxop hayaevres p wlahyoe dh aavne i mplpayoertda annt irmolpeo inrt satnrte nroglteh ienn sintrge onugrt heecnoinnogm oyu.r economy. PROSPEROUS BHARAT We have successfully brought Bharat from fragile 5 to top 5 economies despite the global turmoil and once-in-a-century event Covid pandemic. We have strengthened our financial system, maintained fiscal prudence, and increased our foreign exchange reserves. We have successfully shielded our citizens from global price shocks and created a conducive environment for economic",Indeterminate,0.4609,"BJP is committed to strengthen self-Governance at the local level and we will empower Panchayati Raj Institutions with extensive devolution of the 3 Fs - Functions, Functionaries and Funds. --- Good performers amongst the Panchayats will be rewarded with additional developmental grants. ---- Strengthen the institution of the Gram Sabha, respecting their inputs and initiatives for development process. ---",2014
"growth. Our policies have resulted in Bharat becoming the 5th largest economy. We will build upon this foundation in the next five years to launch our country on the path to Viksit Bharat by 2047. Make BharMata tkhee B Thhairradt- Lthareg Tehsitr dEc-Loanrogmesyt Economy Within a deWcaitdhei,n w ae d heacvaed eb,r woueg hhatv Beh barroautg fhrot mBh 1a1trha tt ofr 5otmh 1la1trhg etsot 5 etcho lnaorgmeisct p eocwonero. mThici sp wowase rp. oTshsiisb wlea dsu peo ssible due to right polticoi erisg, hfot cpuoslsiceieds e, xfoeccuustisoend aenxde cmuetitoicnu alonuds m pelatnicnuinlogu. sW pela gnunairnagn. tWeee gthuaatr aBnhtaerea tt hwaitll Bbhea trhaet w3ridll be the 3rd largest ecolnaorgmeisct p eocwonero.mic power. SustainingS Fuisntaaninciianlg M Faincaron cSitaal bMilaitcyro Stability",Low Confidence: Highly Likely,0.5561,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019
"We have deWmeo hnasvtrea dteedm loonws tinrafltaetdio lno,w h iignhfl agtrioown,t hhi gahn dg rfioswcatlh p arnudd efinsccea li np rtuhdee pnacset idne tchaed pea. Wste d wecilal de. We will continue onc otnhtisin puaet ho na nthdi ss tpaayt hco amndm sitttaeyd c toom emxpitatnedd otou re excpoannodm oiucr p ercoowneosms.ic prowess. ExpandingE Exmpapnlodyinmge Enmt Oplpopyomrteunnti Otipepsortunities Despite gloDbeasl pchitael lgelnogbeasl cahnadl luenngperesc aendde nutnepdr eecveednetns tseudc he vaesn tthse s Cuochvi das p tahned Ceomviicd, opuarn deecomnioc,m oiucr p eocloicnieosm ic policies have been shuacvcee bsesfeunl sinu cccreeasstifnugl ian scurebasttianngt iaa ls nuubmstbaenrt ioafl neummpbloeyrm oef netm opplopyomrteunntit oiepsp. oOrutru sntitraietse.g Oicu rf oscturast egic focus on sectors olikne s mecatnoursf alickteu mrinagn,u sfearcvtiucreisn,g r,u srearl vinicdeuss, trruyr,a iln ifnrdaustsrturyc,t iunrfer,a tsotururicstmur, ea,n tdo uskriisllm d,e avnedlo spkmille dnetv, elopment, coupled witcho uspulpepdo wrti tthh rsouupgpho rctr etdhrito fuagchil ictrieesd ivti afa Scvilaitnieidsh vi iaan Sdv aMnuiddhrai ,a hnads M guredartal,y h eaxsp garnedaetdly leivxepliahnodoedd livelihood 40",Indeterminate,0.4479,Poshan Abhiyaan.,2019
"recognise that manufacturing presents huge potential for employment creation. We will make Bharat a trusted Global Manufacturing Hub through a series of programmes including simplification of regulatory processes, investment in infrastructure to meet the requirements of manufacturing hubs, bringing capital to the industry and investing in research and development. Increasing the Exports",High Confidence: Highly Likely,0.7404,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will promote Bharat's exports through international cooperation, infrastructure development and simplification of laws Revamp Commercial and Tax Legislations We have substantially simplified the indirect and direct tax systems through simpler rules, new legislation, and use of technology. We are committed to launch an exercise to completely revamp our economic and commercial legislations to suit our economic needs. Honour Honest Taxpayers",Low Confidence: Partial,0.5627,Rationalize and simplify the tax regime.,2014
"We will honour honest taxpayers who have played an important role in strengthening our economy. Make Bharat the Third-Largest Economy Within a decade, we have brought Bharat from 11th to 5th largest economic power. This was possible due to right policies, focussed execution and meticulous planning. We guarantee that Bharat will be the 3rd largest economic power. Sustaining Financial Macro Stability",Low Confidence: Highly Likely,0.5694,"BJP is committed to strengthen self-Governance at the local level and we will empower Panchayati Raj Institutions with extensive devolution of the 3 Fs - Functions, Functionaries and Funds. --- Good performers amongst the Panchayats will be rewarded with additional developmental grants. ---- Strengthen the institution of the Gram Sabha, respecting their inputs and initiatives for development process. ---",2014
"We have demonstrated low inflation, high growth and fiscal prudence in the past decade. We will continue on this path and stay committed to expand our economic prowess. Expanding Employment Opportunities Despite global challenges and unprecedented events such as the Covid pandemic, our economic policies have been successful in creating a substantial number of employment opportunities. Our strategic focus on sectors like manufacturing, services, rural industry, infrastructure, tourism, and skill development, coupled with support through credit facilities via Svanidhi and Mudra, has greatly expanded livelihood 41",Low Confidence: Highly Likely,0.5558,Initiating new economic activities.,2014
Balanced and Inclusive Development We will consolidate our efforts and expand electronics manufacturing three times to become a,Low Confidence: Highly Likely,0.5447,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
major player in the global value chain. We will leverage our design capabilities to develop,Low Confidence: Partial,0.5501,We will move up the value chain of the sector driven by a focus on Quality. Market linkages - both national and international.,2014
"We will launch an initiative to foster balanced regional development across all districts of the country. indigenous brands. Brand, promotion and exports of One District One Product (ODOP) products will be encouraged under the initiative. Making Bharat a Major Player in Semiconductor and Chip Manufacturing Building a Globally Competitive Food Processing Industry Building on our success of electronics industry, will deepen our component ecosystem and take semiconductor design and manufacturing to a new level to become one of the global majors in chip",Low Confidence: Highly Likely,0.529,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will establish smart food processing hubs equipped with cutting-edge technologies to manufacturing enable comprehensive monitoring of the entire food supply chain, from farm to table, ensuring quality, traceability and operational efficiency. Making Bharat a Global Leader in Automobile and EV Manufacturing",High Confidence: Highly Likely,0.7234,"Implement and incentivize the setting up of the food processing industry that has remained just a plain talk till now. This will lead to better income for farmers and create jobs. We aim to set up 'agro food processing clusters', with high value, export-quality and vacuum packed food processing facilities, etc.",2014
"We will position Bharat as a major player in value chains of processed fruits, vegetables, fish, Bharat is a major automobile manufacturer. We will support the growth of the automobile industry and",Low Confidence: Partial,0.5261,Encourage Indian companies to go global and we will support Indian companies in this endeavor. We believe that Indian entrepreneurs have the capability to take on global markets.,2014
"seafood and dairy, among others. its transition to EV manufacturing. We will invest in establishing a nationwide EV charger infrastructure to encourage EV adoption. Focusing on Core Industries Developing Rare Earths and Strategic Mineral Industry",Indeterminate,0.4574,"We will encourage domestic industry to have a larger share in design and production of military hardware and platforms for both domestic use and exports, in a competitive environment.",2014
"We will focus on the technology and sustainability transition happening in steel, cement, metals, and",Moderate Confidence: Partial,0.6078,"Focus on development of energy infrastructure, human resource development and upgradation of technology.",2014
engineering goods industries. We will support these industries to adopt greener manufacturing We will support exploration for rare earths and strategic minerals. We will develop partnerships with,Low Confidence: Highly Likely,0.5743,"To ensure industry responsive manpower, we will bring together industry, universities and government.",2014
processes. countries having reserves of these minerals to secure our supply chain. We will support the processing industries and manufacture of final products using rare earths and strategic minerals. MODI KI Promoting Defence Manufacturing Making Bharat a Global Leader in Textile Manufacturing,Low Confidence: Partial,0.5185,"To generate better work    h opportunities for          n women, 10% material to h be sourced for u government procurement will be        h done from MSMEs            m",2019
"We will vastly expand domestic defence manufacturing and exports of Made in Bharat defence GUARANTEE FOR equipment. This effort will be facilitated by accelerating indigenisation in major Air and Land Equipment Bharat has been a leader in textiles, garments, and apparels. We recognise the huge Platforms. employment generating potential of these industries. Therefore, we will accelerate the efforts GLOBAL made over the last ten years and take textile, garment, and apparel industries to the next MANUFACTURING HUB Positioning Bharat as a Global Railway Manufacturing Hub level.",Moderate Confidence: Partial,0.62,Technology transfer in defence manufacturing will be encouraged to the maximum.,2014
"We will promote manufacturing, research, and development in the railway sector to make Bharat a",Low Confidence: Partial,0.5264,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
"We will successfully operationalize PM Mitra parks, invest in research and development of new leading global railway manufacturing hub. products, simplify the legal and compliance regimes, invest in common amenities, invest in infrastructure for textile industry, and launch special skilling programmes focussed on Making Bharat as Global Aviation Manufacturing and MRO Hub employment.",Low Confidence: Highly Likely,0.5041,We will also set up Centres of Excellence in various sectors in partnership with the Industry.,2014
We will bring a commercial aircraft manufacturing ecosystem to Bharat. For this we will design,Low Confidence: Partial,0.535,"have a human crewed submersible going to the deepest oceans that will facilitate sustainable use of resources. With a thrust on non-fossil fuels, our research mission in this area will reduce imports and make India a leader in new technologies",2019
"We will also make investments in our traditional textile industries to take our indigenous In the last ten years we have made significant progress in the manufacturing sector. We launched a Policy for Aerospace Manufacturing in the country and try to develop our own passenger industries and designs to the global stage. a series of programmes like Make in India, PLI, and simplification of compliances to expand aircraft.",Moderate Confidence: Highly Likely,0.6089,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
manufacturing. We will further harness the potential of manufacturing in creating employment Lab Grown Diamonds,Low Confidence: Highly Likely,0.5543,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will strengthen the civil aviation ecosystem by encouraging Maintenance, Repairs and opportunities and expanding economic activity. We believe that our talent in research and design Overhaul (MRO) activities as well as Aircraft Financing and Leasing Activities institutions",Low Confidence: Highly Likely,0.5045,"We shall modernize existing and operational Airports, and build new ones especially connecting smaller towns and all tourism circuits. In addition, there is a potential for inland air transportation to various remote and local locations in the country. Such air strips will be developed so that low cost air travelling becomes possible within the country.",2014
"can be best complimented by expanding the manufacturing sector. We also understand the need We will make India the largest producer for lab-grown diamond production, embracing through comprehensive government support programs under the Make in India initiative. for self-reliance and resilience in global value chains. Therefore, we will make all efforts to develop cutting-edge technology and sustainable methods to drive economic growth and establish a Bharat as a Global Manufacturing Hub. Promoting Ship Building leading position in the international market. Setting Up Bio-Manufacturing Hubs",Moderate Confidence: Highly Likely,0.6667,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"Global Manufacturing Hub We will ensure availability of dedicated research, designing and testing facilities across the country to promote shipbuilding under the Make in India initiative. For fostering high-performance biomanufacturing towards promoting a circular economy for green, Under the Make in India programme, manufacturing has emerged as a major economic sector with good clean and prosperous Bharat by setting up of Bio-Manufacturing Hubs.",High Confidence: Highly Likely,0.7279,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
"success in electronics, defence, mobile, automobiles and more. We will work towards making Bharat a Strengthening Bharat’s Position as Pharmacy of the World global manufacturing hub and enhance employment in these crucial sectors.",Low Confidence: Highly Likely,0.5441,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will strengthen Bharat’s position as the ‘Pharmacy of the World’ by boosting the Becoming Product Nation manufacturing and research capacities of the pharmaceutical sector, especially APIs.",Low Confidence: Partial,0.5363,"We will encourage domestic industry to have a larger share in design and production of military hardware and platforms for both domestic use and exports, in a competitive environment.",2014
"We are a major engineering and design services hub in the world with many complex products being We will expand Research Linked Incentive schemes, encouraging companies to invest in",Moderate Confidence: Highly Likely,0.633,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
"designed in Bharat. We will build on this strength to become a major Product Nation by combining our research for new drugs, chemical entities and new biological entities. strength in product design services with manufacturing. Making Bharat a Global Electronics Manufacturing Hub by 2030 Developing Robust Industrial Infrastructure In the last ten years we have established a USD 100+ billion electronics manufacturing Based on the principles of PM-Gatishakti, the government shall develop industrial cities in different industry. We have already become the second largest mobile phone manufacturer in the world. industrial corridors for balanced regional development. This shall promote industrialisation of backward Our policies have resulted in generating huge employment opportunities in this industry. regions of the country.",Moderate Confidence: Highly Likely,0.6114,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
42 42,Indeterminate,0.434,Merged with 493,2014
Balanced and Inclusive Development We will consolidate our efforts and expand electronics manufacturing three times to become a,Low Confidence: Highly Likely,0.5447,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
major player in the global value chain. We will leverage our design capabilities to develop,Low Confidence: Partial,0.5501,We will move up the value chain of the sector driven by a focus on Quality. Market linkages - both national and international.,2014
"We will launch an initiative to foster balanced regional development across all districts of the country. indigenous brands. Brand, promotion and exports of One District One Product (ODOP) products will be encouraged under the initiative. Making Bharat a Major Player in Semiconductor and Chip Manufacturing Building a Globally Competitive Food Processing Industry Building on our success of electronics industry, will deepen our component ecosystem and take semiconductor design and manufacturing to a new level to become one of the global majors in chip",Low Confidence: Highly Likely,0.529,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will establish smart food processing hubs equipped with cutting-edge technologies to manufacturing enable comprehensive monitoring of the entire food supply chain, from farm to table, ensuring quality, traceability and operational efficiency. Making Bharat a Global Leader in Automobile and EV Manufacturing",High Confidence: Highly Likely,0.7234,"Implement and incentivize the setting up of the food processing industry that has remained just a plain talk till now. This will lead to better income for farmers and create jobs. We aim to set up 'agro food processing clusters', with high value, export-quality and vacuum packed food processing facilities, etc.",2014
"We will position Bharat as a major player in value chains of processed fruits, vegetables, fish, Bharat is a major automobile manufacturer. We will support the growth of the automobile industry and",Low Confidence: Partial,0.5261,Encourage Indian companies to go global and we will support Indian companies in this endeavor. We believe that Indian entrepreneurs have the capability to take on global markets.,2014
"seafood and dairy, among others. its transition to EV manufacturing. We will invest in establishing a nationwide EV charger infrastructure to encourage EV adoption. Focusing on Core Industries Developing Rare Earths and Strategic Mineral Industry",Indeterminate,0.4574,"We will encourage domestic industry to have a larger share in design and production of military hardware and platforms for both domestic use and exports, in a competitive environment.",2014
"We will focus on the technology and sustainability transition happening in steel, cement, metals, and",Moderate Confidence: Partial,0.6078,"Focus on development of energy infrastructure, human resource development and upgradation of technology.",2014
engineering goods industries. We will support these industries to adopt greener manufacturing We will support exploration for rare earths and strategic minerals. We will develop partnerships with,Low Confidence: Highly Likely,0.5743,"To ensure industry responsive manpower, we will bring together industry, universities and government.",2014
processes. countries having reserves of these minerals to secure our supply chain. We will support the processing industries and manufacture of final products using rare earths and strategic minerals. Promoting Defence Manufacturing Making Bharat a Global Leader in Textile Manufacturing,Low Confidence: Highly Likely,0.5233,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will vastly expand domestic defence manufacturing and exports of Made in Bharat defence equipment. This effort will be facilitated by accelerating indigenisation in major Air and Land Equipment Bharat has been a leader in textiles, garments, and apparels. We recognise the huge Platforms. employment generating potential of these industries. Therefore, we will accelerate the efforts made over the last ten years and take textile, garment, and apparel industries to the next Positioning Bharat as a Global Railway Manufacturing Hub level.",Moderate Confidence: Partial,0.6269,Technology transfer in defence manufacturing will be encouraged to the maximum.,2014
"We will promote manufacturing, research, and development in the railway sector to make Bharat a",Low Confidence: Partial,0.5264,"We will provide adequate resources under the Khelo India scheme to ensure the achievement of declared objectives. Under this scheme, special attention will be given to encourage sporting talent among women.",2019
"We will successfully operationalize PM Mitra parks, invest in research and development of new leading global railway manufacturing hub. products, simplify the legal and compliance regimes, invest in common amenities, invest in infrastructure for textile industry, and launch special skilling programmes focussed on Making Bharat as Global Aviation Manufacturing and MRO Hub employment.",Low Confidence: Highly Likely,0.5041,We will also set up Centres of Excellence in various sectors in partnership with the Industry.,2014
We will bring a commercial aircraft manufacturing ecosystem to Bharat. For this we will design,Low Confidence: Partial,0.535,"have a human crewed submersible going to the deepest oceans that will facilitate sustainable use of resources. With a thrust on non-fossil fuels, our research mission in this area will reduce imports and make India a leader in new technologies",2019
We will also make investments in our traditional textile industries to take our indigenous a Policy for Aerospace Manufacturing in the country and try to develop our own passenger industries and designs to the global stage. aircraft. Lab Grown Diamonds,Moderate Confidence: Highly Likely,0.6059,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
"We will strengthen the civil aviation ecosystem by encouraging Maintenance, Repairs and Overhaul (MRO) activities as well as Aircraft Financing and Leasing Activities institutions",Indeterminate,0.4935,"We shall modernize existing and operational Airports, and build new ones especially connecting smaller towns and all tourism circuits. In addition, there is a potential for inland air transportation to various remote and local locations in the country. Such air strips will be developed so that low cost air travelling becomes possible within the country.",2014
"We will make India the largest producer for lab-grown diamond production, embracing through comprehensive government support programs under the Make in India initiative. cutting-edge technology and sustainable methods to drive economic growth and establish a leading position in the international market. Promoting Ship Building Setting Up Bio-Manufacturing Hubs",Low Confidence: Highly Likely,0.5835,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"Global Manufacturing Hub We will ensure availability of dedicated research, designing and testing facilities across the country to promote shipbuilding under the Make in India initiative. For fostering high-performance biomanufacturing towards promoting a circular economy for green, Under the Make in India programme, manufacturing has emerged as a major economic sector with good clean and prosperous Bharat by setting up of Bio-Manufacturing Hubs.",High Confidence: Highly Likely,0.7279,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
"success in electronics, defence, mobile, automobiles and more. We will work towards making Bharat a Strengthening Bharat’s Position as Pharmacy of the World global manufacturing hub and enhance employment in these crucial sectors.",Low Confidence: Highly Likely,0.5441,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
"We will strengthen Bharat’s position as the ‘Pharmacy of the World’ by boosting the Becoming Product Nation manufacturing and research capacities of the pharmaceutical sector, especially APIs.",Low Confidence: Partial,0.5363,"We will encourage domestic industry to have a larger share in design and production of military hardware and platforms for both domestic use and exports, in a competitive environment.",2014
"We are a major engineering and design services hub in the world with many complex products being We will expand Research Linked Incentive schemes, encouraging companies to invest in",Moderate Confidence: Highly Likely,0.633,We will set up World class Investment and Industrial regions as Global Hubs of Manufacturing.,2014
"designed in Bharat. We will build on this strength to become a major Product Nation by combining our research for new drugs, chemical entities and new biological entities. strength in product design services with manufacturing. Making Bharat a Global Electronics Manufacturing Hub by 2030 Developing Robust Industrial Infrastructure In the last ten years we have established a USD 100+ billion electronics manufacturing Based on the principles of PM-Gatishakti, the government shall develop industrial cities in different industry. We have already become the second largest mobile phone manufacturer in the world. industrial corridors for balanced regional development. This shall promote industrialisation of backward Our policies have resulted in generating huge employment opportunities in this industry. regions of the country.",Moderate Confidence: Highly Likely,0.6114,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
43 43,Indeterminate,0.4373,Merged with 493,2014
Balanced and Inclusive Development We will consolidate our efforts and expand electronics manufacturing three times to become a Building World Class Station,Low Confidence: Highly Likely,0.5357,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014
major player in the global value chain. We will leverage our design capabilities to develop,Low Confidence: Partial,0.5501,We will move up the value chain of the sector driven by a focus on Quality. Market linkages - both national and international.,2014
"We will launch an initiative to foster balanced regional development across all districts of the country. We have already started redevelopment of 1,300+ railway stations to world class standards. We will Expanding PM Gram Sadak Yojana indigenous brands. Brand, promotion and exports of One District One Product (ODOP) products will be encouraged under expand this project to all other major and medium sized stations.",Low Confidence: Highly Likely,0.5557,"Initiate R&D for indigenous railways, coach design and signals.",2014
"We will extend the PM Gram Sadak Yojana to the remotest areas where there are settlements to ensure the initiative. Making Bharat a Major Player in Semiconductor and Chip Manufacturing Expanding Coverage of New Age Trains improved connectivity and access to healthcare, education, government services and markets. Building a Globally Competitive Food Processing Industry Building on our success of electronics industry, will deepen our component ecosystem and take We have developed and manufactured world class Vande Bharat, Amrit Bharat and Namo Bharat trains. Further Enhancing Road Safety semiconductor design and manufacturing to a new level to become one of the global majors in chip",Low Confidence: Partial,0.5594,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
We will establish smart food processing hubs equipped with cutting-edge technologies to We will further expand this network of new age trains. manufacturing,Moderate Confidence: Highly Likely,0.6863,"Implement and incentivize the setting up of the food processing industry that has remained just a plain talk till now. This will lead to better income for farmers and create jobs. We aim to set up 'agro food processing clusters', with high value, export-quality and vacuum packed food processing facilities, etc.",2014
"We will focus on further improving safety on roads through a series of techno legal interventions, enable comprehensive monitoring of the entire food supply chain, from farm to table, ensuring Vande Sleeper Trains training and behavioural change to improve road safety. quality, traceability and operational efficiency. Making Bharat a Global Leader in Automobile and EV Manufacturing",Low Confidence: Highly Likely,0.5707,"Build quality integrated Public Transport systems, discouraging usage of private vehicles.",2014
